Creator,Citation Name,Type,Date modified,See with EMA,status
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-08-02T13:18:37,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée",Quotation,2017-08-02T13:12:23,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-08-02T13:07:35,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée",Quotation,2017-08-02T13:01:16,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-08-02T12:59:19,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-08-02T12:51:58,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-08-02T12:36:01,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Agnus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-08-02T12:31:26,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-31T12:53:52,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-31T12:51:31,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-31T12:40:39,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-31T12:36:51,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-31T12:35:47,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Omission",2017-07-31T12:31:36,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-31T12:26:12,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-31T12:20:00,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-31T12:08:34,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-31T12:03:13,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-31T11:59:13,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (non
mechanical)",2017-07-31T11:55:23,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-31T10:57:06,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-31T10:52:53,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-31T10:51:29,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-31T10:41:08,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-31T10:22:32,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-31T10:20:13,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-31T10:19:28,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-31T10:17:10,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-31T10:13:43,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Sanctus) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (non
mechanical)",2017-07-31T10:10:07,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-30T14:00:57,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-30T13:58:15,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T13:56:33,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T13:55:20,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-30T13:50:47,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-30T13:47:11,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-30T13:42:35,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T13:39:03,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T13:36:19,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T13:33:25,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T13:27:31,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-30T13:25:41,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T13:18:46,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T13:15:21,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-30T13:14:16,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-30T13:09:04,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T13:04:03,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T13:00:57,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (non
mechanical)",2017-07-30T12:58:41,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:47:13,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:42:02,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:40:41,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:39:27,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Transformation (mechanical) 
Transformation (non
mechanical)",2017-07-30T12:33:36,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:30:17,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:29:51,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:29:08,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:26:33,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:25:31,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:24:43,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T12:19:11,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T12:17:50,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T12:16:32,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:14:55,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Transformation (mechanical),2017-07-30T12:12:19,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée",Quotation,2017-07-30T12:09:43,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (mechanical)",2017-07-30T12:07:38,EMA,valid  invalid
Bonnec,": Gombert. Missa Je suis déshéritée (Credo) 
: Cadéac. Je suis déshéritée","Quotation 
Transformation (non
mechanical)",2017-07-30T11:56:14,EMA,valid  invalid
